income,age,loan_amount,credit_history,employment_years,approved
25000,25,100000,1,2,0
45000,32,150000,1,5,1
18000,22,80000,0,1,0
60000,40,200000,1,10,1
30000,28,120000,1,3,1
15000,21,70000,0,1,0
75000,45,300000,1,15,1
22000,26,90000,0,2,0
50000,35,180000,1,7,1
28000,24,110000,1,2,1
12000,20,60000,0,0,0
65000,42,250000,1,12,1
35000,30,130000,1,4,1
20000,23,90000,0,1,0
80000,50,350000,1,20,1
27000,27,100000,1,3,1
16000,22,75000,0,1,0
55000,38,220000,1,9,1
32000,29,140000,1,4,1
14000,21,65000,0,0,0
